t,x_foot,z_foot,phi_leg,phi_body,len_leg,ddt_x_foot,ddt_z_foot,ddt_phi_leg,ddt_phi_body,ddt_len_leg,fsm_state,u1,u2
5.4000000000e-02,-6.3534219841e-03,3.8580213325e-01,1.7021556044e-02,-9.5801861955e-04,1.0000002039e+00,-2.0314850053e-01,-5.2554601092e-01,2.2452277493e-01,-3.0632891819e-02,4.9718341821e-06,2,0.0000000000e+00,-2.7668104264e+00
5.5000000000e-02,-6.5576035525e-03,3.8527173034e-01,1.7247220991e-02,-9.8880730836e-04,1.0000002088e+00,-2.0520579115e-01,-5.3525971698e-01,2.2679734721e-01,-3.0943152275e-02,4.9304907120e-06,2,0.0000000000e+00,-2.6956290959e+00
5.6000000000e-02,-6.7638156876e-03,3.8473161398e-01,1.7475130991e-02,-1.0199022286e-03,1.0000002137e+00,-2.0720971230e-01,-5.4497292463e-01,2.2901296995e-01,-3.1245366558e-02,4.8849375125e-06,2,0.0000000000e+00,-2.6250787784e+00
5.7000000000e-02,-6.9720052575e-03,3.8418178465e-01,1.7705227358e-02,-1.0512953700e-03,1.0000002186e+00,-2.0916073899e-01,-5.5468566257e-01,2.3117016807e-01,-3.1539606270e-02,4.8353295006e-06,2,0.0000000000e+00,-2.5551596609e+00
5.8000000000e-02,-7.1821196051e-03,3.8362224280e-01,1.7937451931e-02,-1.0829787937e-03,1.0000002234e+00,-2.1105934632e-01,-5.6439796014e-01,2.3326946667e-01,-3.1825943030e-02,4.7818212401e-06,2,0.0000000000e+00,-2.4858718497e+00
5.9000000000e-02,-7.3941065488e-03,3.8305298887e-01,1.8171747071e-02,-1.1149446326e-03,1.0000002282e+00,-2.1290600948e-01,-5.7410984728e-01,2.3531139084e-01,-3.2104448465e-02,4.7245666885e-06,2,0.0000000000e+00,-2.4172153712e+00
6.0000000000e-02,-7.6079143820e-03,3.8247402323e-01,1.8408055668e-02,-1.1471850911e-03,1.0000002328e+00,-2.1470120365e-01,-5.8382135448e-01,2.3729646571e-01,-3.2375194204e-02,4.6637188801e-06,2,0.0000000000e+00,-2.3491901734e+00
6.1000000000e-02,-7.8234918732e-03,3.8188534627e-01,1.8646321134e-02,-1.1796924455e-03,1.0000002375e+00,-2.1644540399e-01,-5.9353251275e-01,2.3922521630e-01,-3.2638251867e-02,4.5994296738e-06,2,0.0000000000e+00,-2.2817961265e+00
6.2000000000e-02,-8.0407882662e-03,3.8128695832e-01,1.8886487408e-02,-1.2124590433e-03,1.0000002420e+00,-2.1813908554e-01,-6.0324335354e-01,2.4109816749e-01,-3.2893693054e-02,4.5318495768e-06,2,0.0000000000e+00,-2.2150330243e+00
6.3000000000e-02,-8.2597532795e-03,3.8067885966e-01,1.9128498952e-02,-1.2454773040e-03,1.0000002465e+00,-2.1978272317e-01,-6.1295390875e-01,2.4291584397e-01,-3.3141589342e-02,4.4611275877e-06,2,0.0000000000e+00,-2.1489005854e+00
6.4000000000e-02,-8.4803371068e-03,3.8006105058e-01,1.9372300754e-02,-1.2787397184e-03,1.0000002510e+00,-2.2137679153e-01,-6.2266421061e-01,2.4467877014e-01,-3.3382012272e-02,4.3874109239e-06,2,0.0000000000e+00,-2.0833984537e+00
6.5000000000e-02,-8.7024904158e-03,3.7943353131e-01,1.9617838326e-02,-1.3122388490e-03,1.0000002553e+00,-2.2292176501e-01,-6.3237429174e-01,2.4638747008e-01,-3.3615033342e-02,4.3108449385e-06,2,0.0000000000e+00,-2.0185262000e+00
6.6000000000e-02,-8.9261643488e-03,3.7879630206e-01,1.9865057704e-02,-1.3459673294e-03,1.0000002596e+00,-2.2441811767e-01,-6.4208418501e-01,2.4804246748e-01,-3.3840723999e-02,4.2315729994e-06,2,0.0000000000e+00,-1.9542833227e+00
6.7000000000e-02,-9.1513105219e-03,3.7814936300e-01,2.0113905446e-02,-1.3799178652e-03,1.0000002638e+00,-2.2586632315e-01,-6.5179392356e-01,2.4964428557e-01,-3.4059155631e-02,4.1497363193e-06,2,0.0000000000e+00,-1.8906692491e+00
6.8000000000e-02,-9.3778810244e-03,3.7749271426e-01,2.0364328635e-02,-1.4140832328e-03,1.0000002679e+00,-2.2726685471e-01,-6.6150354074e-01,2.5119344709e-01,-3.4270399556e-02,4.0654739251e-06,2,0.0000000000e+00,-1.8276833364e+00
6.9000000000e-02,-9.6058284189e-03,3.7682635594e-01,2.0616274875e-02,-1.4484562803e-03,1.0000002719e+00,-2.2862018506e-01,-6.7121307011e-01,2.5269047419e-01,-3.4474527021e-02,3.9789225333e-06,2,0.0000000000e+00,-1.7653248724e+00
7.0000000000e-02,-9.8351057403e-03,3.7615028813e-01,2.0869692293e-02,-1.4830299267e-03,1.0000002758e+00,-2.2992678642e-01,-6.8092254533e-01,2.5413588841e-01,-3.4671609187e-02,3.8902165187e-06,2,0.0000000000e+00,-1.7035930770e+00
7.1000000000e-02,-1.0065666495e-02,3.7546451086e-01,2.1124529536e-02,-1.5177971623e-03,1.0000002797e+00,-2.3118713037e-01,-6.9063200019e-01,2.5553021060e-01,-3.4861717125e-02,3.7994877470e-06,2,0.0000000000e+00,-1.6424871029e+00
7.2000000000e-02,-1.0297464663e-02,3.7476902413e-01,2.1380735773e-02,-1.5527510483e-03,1.0000002834e+00,-2.3240168789e-01,-7.0034146856e-01,2.5687396089e-01,-3.5044921807e-02,3.7068656627e-06,2,0.0000000000e+00,-1.5820060367e+00
7.3000000000e-02,-1.0530454690e-02,3.7406382791e-01,2.1638260691e-02,-1.5878847171e-03,1.0000002871e+00,-2.3357092924e-01,-7.1005098433e-01,2.5816765858e-01,-3.5221294100e-02,3.6124771290e-06,2,0.0000000000e+00,-1.5221489001e+00
7.4000000000e-02,-1.0764591497e-02,3.7334892213e-01,2.1897054496e-02,-1.6231913714e-03,1.0000002907e+00,-2.3469532393e-01,-7.1976058141e-01,2.5941182217e-01,-3.5390904758e-02,3.5164464591e-06,2,0.0000000000e+00,-1.4629146505e+00
7.5000000000e-02,-1.0999830472e-02,3.7262430671e-01,2.2157067914e-02,-1.6586642851e-03,1.0000002941e+00,-2.3577534072e-01,-7.2947029370e-01,2.6060696924e-01,-3.5553824413e-02,3.4188954147e-06,2,0.0000000000e+00,-1.4043021824e+00
7.6000000000e-02,-1.1236127469e-02,3.7188998150e-01,2.2418252187e-02,-1.6942968024e-03,1.0000002975e+00,-2.3681144748e-01,-7.3918015503e-01,2.6175361642e-01,-3.5710123572e-02,3.3199430830e-06,2,0.0000000000e+00,-1.3463103281e+00
7.7000000000e-02,-1.1473438813e-02,3.7114594633e-01,2.2680559072e-02,-1.7300823379e-03,1.0000003008e+00,-2.3780411124e-01,-7.4889019915e-01,2.6285227934e-01,-3.5859872606e-02,3.2197059023e-06,2,0.0000000000e+00,-1.2889378591e+00
7.8000000000e-02,-1.1711721294e-02,3.7039220102e-01,2.2943940843e-02,-1.7660143768e-03,1.0000003039e+00,-2.3875379807e-01,-7.5860045970e-01,2.6390347259e-01,-3.6003141745e-02,3.1182976850e-06,2,0.0000000000e+00,-1.2321834863e+00
7.9000000000e-02,-1.1950932168e-02,3.6962874533e-01,2.3208350287e-02,-1.8020864741e-03,1.0000003070e+00,-2.3966097309e-01,-7.6831097020e-01,2.6490770963e-01,-3.6140001070e-02,3.0158296217e-06,2,0.0000000000e+00,-1.1760458621e+00
8.0000000000e-02,-1.2191029154e-02,3.6885557899e-01,2.3473740704e-02,-1.8382922551e-03,1.0000003100e+00,-2.4052610038e-01,-7.7802176397e-01,2.6586550281e-01,-3.6270520509e-02,2.9124102153e-06,2,0.0000000000e+00,-1.1205235801e+00
8.1000000000e-02,-1.2431970438e-02,3.6807270170e-01,2.3740065905e-02,-1.8746254147e-03,1.0000003128e+00,-2.4134964296e-01,-7.8773287418e-01,2.6677736325e-01,-3.6394769826e-02,2.8081453108e-06,2,0.0000000000e+00,-1.0656151772e+00
8.2000000000e-02,-1.2673714664e-02,3.6728011312e-01,2.4007280214e-02,-1.9110797176e-03,1.0000003156e+00,-2.4213206275e-01,-7.9744433375e-01,2.6764380084e-01,-3.6512818620e-02,2.7031380972e-06,2,0.0000000000e+00,-1.0113191339e+00
8.3000000000e-02,-1.2916220942e-02,3.6647781290e-01,2.4275338461e-02,-1.9476489980e-03,1.0000003182e+00,-2.4287382052e-01,-8.0715617540e-01,2.6846532418e-01,-3.6624736315e-02,2.5974891481e-06,2,0.0000000000e+00,-9.5763387536e-01
8.4000000000e-02,-1.3159448837e-02,3.6566580063e-01,2.4544195986e-02,-1.9843271595e-03,1.0000003208e+00,-2.4357537585e-01,-8.1686843155e-01,2.6924244051e-01,-3.6730592152e-02,2.4912963706e-06,2,0.0000000000e+00,-9.0455777244e-01
8.5000000000e-02,-1.3403358379e-02,3.6484407589e-01,2.4813808635e-02,-2.0211081747e-03,1.0000003232e+00,-2.4423718708e-01,-8.2658113436e-01,2.6997565572e-01,-3.6830455190e-02,2.3846550832e-06,2,0.0000000000e+00,-8.5208914264e-01
8.6000000000e-02,-1.3647910051e-02,3.6401263821e-01,2.5084132760e-02,-2.0579860853e-03,1.0000003256e+00,-2.4485971129e-01,-8.3629431568e-01,2.7066547427e-01,-3.6924394291e-02,2.2776580032e-06,2,0.0000000000e+00,-8.0022625098e-01
8.7000000000e-02,-1.3893064793e-02,3.6317148709e-01,2.5355125214e-02,-2.0949550018e-03,1.0000003278e+00,-2.4544340423e-01,-8.4600800704e-01,2.7131239912e-01,-3.7012478122e-02,2.1703952445e-06,2,0.0000000000e+00,-7.4896731093e-01
8.8000000000e-02,-1.4138784003e-02,3.6232062201e-01,2.5626743356e-02,-2.1320091030e-03,1.0000003299e+00,-2.4598872032e-01,-8.5572223962e-01,2.7191693175e-01,-3.7094775142e-02,2.0629543519e-06,2,0.0000000000e+00,-6.9831048539e-01
8.9000000000e-02,-1.4385029529e-02,3.6146004242e-01,2.5898945044e-02,-2.1691426364e-03,1.0000003319e+00,-2.4649611258e-01,-8.6543704423e-01,2.7247957209e-01,-3.7171353604e-02,1.9554203445e-06,2,0.0000000000e+00,-6.4825388751e-01
9.0000000000e-02,-1.4631763675e-02,3.6058974772e-01,2.6171688634e-02,-2.2063499173e-03,1.0000003338e+00,-2.4696603261e-01,-8.7515245132e-01,2.7300081845e-01,-3.7242281542e-02,1.8478757203e-06,2,0.0000000000e+00,-5.9879558169e-01
9.1000000000e-02,-1.4878949192e-02,3.5970973730e-01,2.6444932980e-02,-2.2436253292e-03,1.0000003356e+00,-2.4739893055e-01,-8.8486849093e-01,2.7348116753e-01,-3.7307626770e-02,1.7404004901e-06,2,0.0000000000e+00,-5.4993358443e-01
9.2000000000e-02,-1.5126549284e-02,3.5882001052e-01,2.6718637434e-02,-2.2809633233e-03,1.0000003373e+00,-2.4779525502e-01,-8.9458519268e-01,2.7392111434e-01,-3.7367456877e-02,1.6330721797e-06,2,0.0000000000e+00,-5.0166586525e-01
9.3000000000e-02,-1.5374527600e-02,3.5792056668e-01,2.6992761839e-02,-2.3183584180e-03,1.0000003389e+00,-2.4815545312e-01,-9.0430258577e-01,2.7432115219e-01,-3.7421839217e-02,1.5259658758e-06,2,0.0000000000e+00,-4.5399034756e-01
