t,x_foot,z_foot,phi_leg,phi_body,len_leg,ddt_x_foot,ddt_z_foot,ddt_phi_leg,ddt_phi_body,ddt_len_leg,fsm_state,u1,u2
8.5705623493e-02,-1.3568208866e-02,3.6425820039e-01,2.4996031960e-02,-2.0459672956e-03,1.0000003246e+00,-2.4456578627e-01,-8.3344017375e-01,2.7034002006e-01,-3.6880050101e-02,2.3152488124e-06,2,0.0000000000e+00,-8.1878056046e-01
8.9169140580e-02,-1.4418688852e-02,3.6131330212e-01,2.5936152457e-02,-2.1742184260e-03,1.0000003319e+00,-2.4646565677e-01,-8.6708569969e-01,2.7244614859e-01,-3.7166769584e-02,1.9439325766e-06,2,0.0000000000e+00,-6.4322253212e-01
9.2653010996e-02,-1.5280013364e-02,3.5823352473e-01,2.6888282088e-02,-2.3041056753e-03,1.0000003380e+00,-2.4792448116e-01,-9.0093627609e-01,2.7406511471e-01,-3.7386983969e-02,1.5704207923e-06,2,0.0000000000e+00,-4.7386124066e-01
9.6149111467e-02,-1.6148702306e-02,3.5502436837e-01,2.7848575321e-02,-2.4351042644e-03,1.0000003428e+00,-2.4895150422e-01,-9.3491432577e-01,2.7520708894e-01,-3.7542084067e-02,1.1988236687e-06,2,0.0000000000e+00,-3.1110641002e-01
9.9650426858e-02,-1.7021545662e-02,3.5169135159e-01,2.8813484862e-02,-2.5667301247e-03,1.0000003464e+00,-2.4956030325e-01,-9.6895292501e-01,2.7588702751e-01,-3.7634113979e-02,8.3282401849e-07,2,0.0000000000e+00,-1.5524445969e-01
1.0315138543e-01,-1.7895723417e-02,3.4823949389e-01,2.9779894240e-02,-2.6985579846e-03,1.0000003486e+00,-2.4976773406e-01,-1.0029990465e+00,2.7612350958e-01,-3.7665612255e-02,4.7560104346e-07,2,0.0000000000e+00,-6.4377126358e-03
1.0664743347e-01,-1.8768726236e-02,3.4467351376e-01,3.0745030139e-02,-2.8302094084e-03,1.0000003497e+00,-2.4959281892e-01,-1.0370094178e+00,2.7593750860e-01,-3.7639444232e-02,1.2985574588e-07,2,0.0000000000e+00,1.3524228545e-01
1.1013427515e-01,-1.9638183660e-02,3.4099846926e-01,3.1706272476e-02,-2.9613268900e-03,1.0000003495e+00,-2.4905607622e-01,-1.0709431221e+00,2.7535165086e-01,-3.7558700961e-02,-2.0212200829e-07,2,0.0000000000e+00,2.6977411288e-01
1.1360766360e-01,-2.0501825663e-02,3.3721994306e-01,3.2661111898e-02,-3.0915680547e-03,1.0000003482e+00,-2.4817920804e-01,-1.1047595549e+00,2.7438987084e-01,-3.7426652141e-02,-5.1843500400e-07,2,0.0000000000e+00,3.9717443541e-01
1.1706424521e-01,-2.1357702710e-02,3.3334306922e-01,3.3607393088e-02,-3.2206388478e-03,1.0000003459e+00,-2.4698451750e-01,-1.1384266413e+00,2.7307676978e-01,-3.7246658339e-02,-8.1763382355e-07,2,0.0000000000e+00,5.1752396275e-01
1.2050271101e-01,-2.2204471652e-02,3.2937102884e-01,3.4543630914e-02,-3.3483366508e-03,1.0000003426e+00,-2.4549376049e-01,-1.1719320723e+00,2.7143634978e-01,-3.7021997909e-02,-1.0987573346e-06,2,0.0000000000e+00,6.3099407436e-01
1.2392365518e-01,-2.3041348868e-02,3.2530487499e-01,3.5468958698e-02,-3.4745432173e-03,1.0000003383e+00,-2.4372724100e-01,-1.2052819690e+00,2.6949101407e-01,-3.6755730533e-02,-1.3612454040e-06,2,0.0000000000e+00,7.3782264801e-01
